,,prix_au_m2,count,min,max,nom_commune
1580.0,Maison,1680.394790878415,14,590.2777777777778,3066.6666666666665,Izernore
1590.0,Appartement,1260.1967667679198,3,623.7623762376238,1917.391304347826,Chancia
1590.0,Maison,2059.023295567145,11,1160.7142857142858,3030.4,Dortan
1600.0,Appartement,2382.9468138437446,24,786.5168539325842,3500.0,Trévoux
1600.0,Maison,3142.3390948110573,68,883.6065573770492,12000.0,Saint-Didier-de-Formans
1630.0,Appartement,4280.474444230313,65,1752.808988764045,5862.745098039216,Saint-Genis-Pouilly
1630.0,Maison,4370.471195867097,36,952.3809523809524,7407.407407407408,Saint-Genis-Pouilly
1640.0,Appartement,1694.915254237288,1,1694.915254237288,1694.915254237288,Saint-Jean-le-Vieux
1640.0,Maison,1828.209139101567,16,756.7567567567568,3137.2549019607845,Saint-Jean-le-Vieux
1660.0,Appartement,921.4285714285714,1,921.4285714285714,921.4285714285714,Mézériat
1660.0,Maison,1802.092172320433,11,724.6376811594203,3219.7368421052633,Mézériat
1680.0,Maison,1647.130521487441,4,921.2975961538461,2392.2244897959185,Lompnas
1700.0,Appartement,2848.6379563466935,41,1086.9565217391305,5450.0,Miribel
1700.0,Maison,3270.9045386280995,45,700.0,6538.775510204082,Miribel
1710.0,Appartement,4466.543933546618,17,1373.740142857143,7253.521126760564,Thoiry
1710.0,Maison,4479.313725023087,17,1424.5014245014245,6538.159509202454,Thoiry
1750.0,Appartement,1660.2110444424436,15,647.0588235294117,2463.40206185567,Saint-Laurent-sur-Saône
1750.0,Maison,1796.6760350810648,10,952.3809523809524,3082.1917808219177,Replonges
1800.0,Appartement,2704.0544420806737,19,1590.909090909091,3918.032786885246,Meximieux
1800.0,Maison,2859.3479554982373,67,595.2380952380952,7250.0,Saint-Jean-de-Niost
1851.0,Appartement,1798.3536036036035,2,1330.0405405405406,2266.6666666666665,Marboz
1851.0,Maison,1795.6460984498165,8,962.406015037594,3215.4725274725274,Marboz
1960.0,Appartement,2192.1647813308555,17,1074.6268656716418,3492.6470588235293,Péronnas
1960.0,Maison,2027.234238694617,28,655.5944055944055,3266.6666666666665,Servas
1990.0,Maison,2250.068837613988,8,1417.5824175824175,3360.0,Relevant
2000.0,Appartement,1123.230275291426,41,530.3030303030303,2400.0,Laon
2000.0,Maison,1279.2002634555022,102,528.9256198347107,4102.5641025641025,Laon
2100.0,Appartement,1148.783493061559,83,503.36700336700335,3333.3333333333335,Saint-Quentin
2100.0,Maison,1211.1170599194522,209,517.2413793103449,3333.3333333333335,Saint-Quentin
2110.0,Appartement,976.5625,1,976.5625,976.5625,Bohain-en-Vermandois
2110.0,Maison,896.0341411580454,60,551.7241379310345,2072.3684210526317,Bohain-en-Vermandois
